מדרג,מכסת השתתפות,מינהלי,"מח""ר\ מהנדסים",הנדסאים\ טכנאים,משפטנים,"עובדים סוציאליים (כולל בריאות ובתיה""ח)",צהל,משטרה,"שב""ס","כב""א"
בכיר א,236 ₪,25,46,46,,,אלוף,ניצב,גונדר,טפסר
בכיר ב,177 ₪,24,45,45,6א,,תת אלוף,תת ניצב,גונדר משנה,תת טפסר
בכיר ב,177 ₪,23,44,44,7א,רמת ניהול 7,אלוף משנה,ניצב משנה,תת גונדר,טפסר משנה
תיכון,118 ₪,22,43,43,5א,רמת ניהול 6,סגן אלוף,סגן ניצב,סגן גונדר,סגן טפסר
תיכון,118 ₪,,,,,,רב סרן,,,
תיכון,118 ₪,21,42,42,4א,רמת ניהול 5,רב נגד,רב פקד,רב כלאי,רב רשף
מירב,88.5 ₪,,,,,,סרן,,,
מירב,88.5 ₪,20,41,41,3א,רמת ניהול 4,רב סמל בכיר,פקד,כלאי,רשף
מירב,88.5 ₪,19,40,40,2א,רמת ניהול 3,,,,
מסד,88.5 ₪,18,39,39,1א,"מדר""צ",,,,
מסד,88.5 ₪,17,38,38,א,ללא ניהול,,,,
מסד,88.5 ₪,16,37,37,ב2,מרכז נושא,,,,
מסד,88.5 ₪,15,36,36,ב1,,,,,
מסד,88.5 ₪,14,35,35,ב,,,,,
מסד,88.5 ₪,13,34,34,,,,,,
